ADU57094,Antifreeze protein isoform 1 (afpwj752),Anatolica polita
ACN38303,Ice recrystallisation inhibition protein ,Lolium perenne	
QKK80999,Antifreeze protein,Marinomonas primoryensis	
AAW67979,Antifreeze protein,Microdera punctipennis 
AAW67980,Antifreeze protein isoform 1 ,Microdera punctipennis 
ADJ93819,Antifreeze protein isoform AFPS77 ,Microdera puntipennis 
AAG22048,Skin-type antifreeze protein ,Myoxocephalus octodecemspinosus 
AAG25982,Skin-type antifreeze polypeptide AFP-2 ,Myoxocephalus scorpius 
AGZ85415,Type I antifreeze protein G1-4,Myoxocephalus scorpius 
AGZ85416,Type I antifreeze protein G4-1,Myoxocephalus scorpius 
AGZ85417,Type I antifreeze protein G7-2,Myoxocephalus scorpius 
AGZ85418,Type I antifreeze protein G7-4,Myoxocephalus scorpius 
AGZ85414,Type I antifreeze protein Lar4,Myoxocephalus scorpius 
AGZ85411,Type I antifreeze protein Liv1,Myoxocephalus scorpius 
AGZ85412,Type I antifreeze protein Liv4,Myoxocephalus scorpius 
AGZ85413,Type I antifreeze protein Liv5,Myoxocephalus scorpius 
AAZ76254,Ice-binding protein,Navicula glaciei	
AAZ76249,Ice-binding protein-10,Navicula glaciei	
AAZ76253,Ice-binding protein-13,Navicula glaciei	
AAZ76250,Ice-binding protein-3,Navicula glaciei	
AAZ76251,Ice-binding protein-8,Navicula glaciei	
AAZ76252,Ice-binding protein-9,Navicula glaciei	
NP_001290217,Antifreeze protein type IV,Notothenia coriiceps	
ABA41370,Type II antifreeze protein,Osmerus mordax	
AEZ68575,Type II antifreeze protein,Osmerus mordax	
AAA24823,Ice nucleation protein,Pantoea agglomerans	
ABX38716,Type I hyperactive antifreeze protein,Pseudopleuronectes americanus 
4DT5_A,Antifreeze protein (afp-h4),Rhagium inquisitor	
AAG53610,24.8 kDa class II endochitinase-antifreeze protein precursor,Secale cereale	
AAG53609,31.7 kDa class I endochitinase-antifreeze protein precursor,Secale cereale	
AAP32201,29 kDa chitinase-like thermal hysteresis protein,Solanum dulcamara	
AAL26842,Thermal hysteresis protein STHP-64,Solanum dulcamara	
ACL00837,Antifreeze protein a,Stephos longipes	
ACL00838,Antifreeze protein b,Stephos longipes	
AFD54428,Antifreeze protein (YAFP),Tenebrio molitor	
ABB03883,Antifreeze protein BST2,Tenebrio molitor	
AAD55258,Thermal hysteresis protein isoform 3-4 precursor,Tenebrio molitor	
AAD55256,Thermal hysteresis protein isoform 4-9 precursor,Tenebrio molitor	
AAD55260,Thermal hysteresis protein isoform 5-15 precursor,Tenebrio molitor	
AAD55259,Thermal hysteresis protein isoform C-9 precursor,Tenebrio molitor	
AAD55257,Thermal hysteresis protein isoform D-16 precursor,Tenebrio molitor	
BAD02891,[K1-A mRNA for] Antifreeze protein,Typhula ishikariensis	
BAD02892,[K1-C mRNA for] Antifreeze protein,Typhula ishikariensis	
BAD02893,[K3-B1 mRNA for] Antifreeze protein,Typhula ishikariensis	
BAD02894,[K3-B2 mRNA for] Antifreeze protein,Typhula ishikariensis	
BAD02895,[K3-B3 mRNA for] Antifreeze protein,Typhula ishikariensis	
BAD02896,[K3-F mRNA for] Antifreeze protein,Typhula ishikariensis	
BAD02897,[K3-G mRNA for] Antifreeze protein,Typhula ishikariensis	
BAD95776,Type III antifreeze protein,Zoarces elongatus	
BAD95785,Type III antifreeze protein nfeAFP10,Zoarces elongatus	
BAD95786,Type III antifreeze protein nfeAFP11,Zoarces elongatus	
BAD95787,Type III antifreeze protein nfeAFP12,Zoarces elongatus	
BAD95788,Type III antifreeze protein nfeAFP13,Zoarces elongatus	
BAD95777,Type III antifreeze protein nfeAFP2,Zoarces elongatus
BAD95778,Type III antifreeze protein nfeAFP3,Zoarces elongatus
BAD95779,Type III antifreeze protein nfeAFP4,Zoarces elongatus
BAD95780,Type III antifreeze protein nfeAFP5,Zoarces elongatus
BAD95781,Type III antifreeze protein nfeAFP6,Zoarces elongatus
BAD95782,Type III antifreeze protein nfeAFP7,Zoarces elongatus
BAD95783,Type III antifreeze protein nfeAFP8,Zoarces elongatus
BAD95784,Type III antifreeze protein nfeAFP9,Zoarces elongatus
4UR4_A,Antifreeze protein 13,Zoarces viviparus
ABN42204,Antifreeze protein 7,Zoarces viviparus
